=================================================================
                        LOG DETAILS OF JOB
=================================================================

17/03/20 23:29:32 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:29:33 INFO client.RMProxy: Connecting to ResourceManager at yogihadoopcluster-1-m/10.138.0.4:8032
17/03/20 23:29:34 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:29:37 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490049993001_0005
17/03/20 23:29:37 INFO impl.YarnClientImpl: Submitted application application_1490049993001_0005
17/03/20 23:29:37 INFO mapreduce.Job: The url to track the job: http://yogihadoopcluster-1-m:8088/proxy/application_1490049993001_0005/
17/03/20 23:29:37 INFO mapreduce.Job: Running job: job_1490049993001_0005
17/03/20 23:29:46 INFO mapreduce.Job: Job job_1490049993001_0005 running in uber mode : false
17/03/20 23:29:46 INFO mapreduce.Job:  map 0% reduce 0%
17/03/20 23:30:42 INFO mapreduce.Job:  map 1% reduce 0%
17/03/20 23:32:05 INFO mapreduce.Job:  map 2% reduce 0%
17/03/20 23:33:27 INFO mapreduce.Job:  map 3% reduce 0%
17/03/20 23:34:55 INFO mapreduce.Job:  map 4% reduce 0%
17/03/20 23:36:18 INFO mapreduce.Job:  map 5% reduce 0%
17/03/20 23:37:36 INFO mapreduce.Job:  map 6% reduce 0%
17/03/20 23:38:57 INFO mapreduce.Job:  map 7% reduce 0%
17/03/20 23:40:15 INFO mapreduce.Job:  map 8% reduce 0%
17/03/20 23:41:32 INFO mapreduce.Job:  map 9% reduce 0%
17/03/20 23:42:54 INFO mapreduce.Job:  map 10% reduce 0%
17/03/20 23:44:08 INFO mapreduce.Job:  map 11% reduce 0%
17/03/20 23:45:27 INFO mapreduce.Job:  map 12% reduce 0%
17/03/20 23:46:44 INFO mapreduce.Job:  map 13% reduce 0%
17/03/20 23:47:58 INFO mapreduce.Job:  map 14% reduce 0%
17/03/20 23:49:15 INFO mapreduce.Job:  map 15% reduce 0%
17/03/20 23:50:36 INFO mapreduce.Job:  map 16% reduce 0%
17/03/20 23:51:49 INFO mapreduce.Job:  map 17% reduce 0%
17/03/20 23:53:03 INFO mapreduce.Job:  map 18% reduce 0%
17/03/20 23:54:18 INFO mapreduce.Job:  map 19% reduce 0%
17/03/20 23:55:32 INFO mapreduce.Job:  map 20% reduce 0%
17/03/20 23:56:48 INFO mapreduce.Job:  map 21% reduce 0%
17/03/20 23:58:03 INFO mapreduce.Job:  map 22% reduce 0%
17/03/20 23:59:19 INFO mapreduce.Job:  map 23% reduce 0%
17/03/21 00:00:32 INFO mapreduce.Job:  map 24% reduce 0%
17/03/21 00:01:49 INFO mapreduce.Job:  map 25% reduce 0%
17/03/21 00:03:02 INFO mapreduce.Job:  map 26% reduce 0%
17/03/21 00:04:19 INFO mapreduce.Job:  map 27% reduce 0%
17/03/21 00:05:34 INFO mapreduce.Job:  map 28% reduce 0%
17/03/21 00:06:48 INFO mapreduce.Job:  map 29% reduce 0%
17/03/21 00:08:01 INFO mapreduce.Job:  map 30% reduce 0%
17/03/21 00:09:16 INFO mapreduce.Job:  map 31% reduce 0%
17/03/21 00:10:30 INFO mapreduce.Job:  map 32% reduce 0%
17/03/21 00:11:43 INFO mapreduce.Job:  map 33% reduce 0%
17/03/21 00:13:01 INFO mapreduce.Job:  map 34% reduce 0%
17/03/21 00:14:15 INFO mapreduce.Job:  map 35% reduce 0%
17/03/21 00:15:27 INFO mapreduce.Job:  map 36% reduce 0%
17/03/21 00:16:44 INFO mapreduce.Job:  map 37% reduce 0%
17/03/21 00:17:54 INFO mapreduce.Job:  map 38% reduce 0%
17/03/21 00:19:09 INFO mapreduce.Job:  map 39% reduce 0%
17/03/21 00:20:22 INFO mapreduce.Job:  map 40% reduce 0%
17/03/21 00:21:32 INFO mapreduce.Job:  map 41% reduce 0%
17/03/21 00:22:49 INFO mapreduce.Job:  map 42% reduce 0%
17/03/21 00:24:07 INFO mapreduce.Job:  map 43% reduce 0%
17/03/21 00:25:20 INFO mapreduce.Job:  map 44% reduce 0%
17/03/21 00:26:28 INFO mapreduce.Job:  map 45% reduce 0%
17/03/21 00:27:44 INFO mapreduce.Job:  map 46% reduce 0%
17/03/21 00:28:53 INFO mapreduce.Job:  map 47% reduce 0%
17/03/21 00:30:05 INFO mapreduce.Job:  map 48% reduce 0%
17/03/21 00:31:17 INFO mapreduce.Job:  map 49% reduce 0%
17/03/21 00:32:27 INFO mapreduce.Job:  map 50% reduce 0%
17/03/21 00:33:18 INFO mapreduce.Job:  map 50% reduce 1%
17/03/21 00:33:54 INFO mapreduce.Job:  map 51% reduce 1%
17/03/21 00:35:58 INFO mapreduce.Job:  map 52% reduce 1%
17/03/21 00:38:05 INFO mapreduce.Job:  map 53% reduce 1%
17/03/21 00:40:08 INFO mapreduce.Job:  map 54% reduce 1%
